Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Fabaceae","Lathyrus","frolovii Rupr.","","","","","","Kazakhstan,Russie in Asie","10-669s","",""," - ","","",""
"Rosaceae","Acaena","adscendens Wahl.","","","","","","N.Zélande,Am.Sud","10-734s","",""," - ","","",""
"Juncaceae","Luzula","sudetica Schult.","","","","","","Europe-Pyr.-Alpes","10-727s","",""," - ","","",""
"Juncaceae","Juncus","alpino-articulatus Chaix","","","","","","Alpes-Jura-Pyrénées","10-726s*","",""," - ","","",""
"Crassulaceae","Sedum","obtusifolium","","","","","","Reg.Caucase","10-587s","",""," - ","","",""
"Lythraceae","Bergenia","crassifolia Fritsch","","","","","","Asie centrale,Chine","10-672s","",""," - ","","",""
"Brassicaceae","Paronychia","echinulata Chater","","","","","","W.N.Am.","10-1038s","",""," - ","","",""
"Plumbaginaceae","Limonium","secundirameum Brullo","","","","","","Sicile","10-693s*","",""," - ","","",""
"Scrophulariaceae","Veronica","urticifolia Jacq.","","","","","","Alpes,Jura,Auvergne,Pyr.","10-613s","",""," - ","","",""
"Scrophulariaceae","Digitalis","trojana Ivan","","","","","","Turquie","10-1076s*","",""," - ","","",""
"Apiaceae","Athamanta","vestina A.Kern","","","","","","S.Eur.,Tirol","10-598s","",""," - ","","",""
"Asteraceae","Cyanus","triumfetti Dostal","","","","","","Europe,Caucase","10-1013s*","",""," - ","","",""
"Iridaceae","Iris","sanguinea Hornem.","","","","","","Afr.Australe","10-673s","",""," - ","","",""
"Polygonaceae","Rheum","rhaponticum L.","","","","","","Siberie","10-662s","",""," - ","","",""
"Piperaceae","Saururus","cernuus Thumb.","","","","","","N.Am.","10-1184s","",""," - ","","",""
"Asteraceae","Swertia","longifolia Boiss.","","","","","","Perse","10-622s","",""," - ","","",""
"Cyperaceae","Scirpoides","holoschoenus Sojak","","","","","","Eur.,Australie,N.Afr.","10-1026s*","",""," - ","","",""
"Asteraceae","Artemisia","absinthium L.","","","","","","Europe","10-718s*","",""," - ","","",""
"Plumbaginaceae","Limonium","optimae Raimondo","","","","","","Sicile","10-692s*","",""," - ","","",""
"Caryophyllaceae","Gypsophila","bicolor Freyn.& Sint.","","","","","","Armenie,Turquie,Georgie","10-619s","",""," - ","","",""
